kata_kunci,judul,url,sentiment_textblob,polarity_textblob,sentiment_vader,compound_vader,sentiment_keyword,score_keyword,sentiment_ensemble,interpretasi
Bank Central Asia,"BCA Kantongi Laba Rp 54,8 T Sepanjang 2024",https://finance.detik.com/bursa-dan-valas/d-7746609/bca-kantongi-laba-rp-54-8-t-sepanjang-2024,Neutral,0.0,Positive,0.25,Positive,43,Positive,Positif
Bank Central Asia,Rincian Utang Bejibun Sritex ke 28 Bank,https://finance.detik.com/moneter/d-7611176/rincian-utang-bejibun-sritex-ke-28-bank,Neutral,-0.017857142857142856,Neutral,0.1027,Neutral,-1,Neutral,Netral
Bank Central Asia,Perbankan Siapkan Uang Tunai Tambahan buat Periode Libur Nataru,https://finance.detik.com/moneter/d-7683138/perbankan-siapkan-uang-tunai-tambahan-buat-periode-libur-nataru,Neutral,0.0,Neutral,0.0,Positive,10,Positive,Positif
Bank Central Asia,"Pengumuman! Biaya Admin & Limit Transaksi BCA Naik Mulai 19 Januari, Ini Rinciannya",https://finance.detik.com/moneter/d-7123612/pengumuman-biaya-admin-limit-transaksi-bca-naik-mulai-19-januari-ini-rinciannya,Neutral,0.0,Neutral,0.0516,Positive,9,Positive,Positif
Bank Central Asia,Limit Transaksi dan Biaya Admin BCA Naik Mulai Hari Ini,https://www.detik.com/jateng/bisnis/d-7149438/limit-transaksi-dan-biaya-admin-bca-naik-mulai-hari-ini,Neutral,0.0,Neutral,0.0516,Positive,6,Positive,Positif
Bank Central Asia,BCA Tutup Rekening yang Saldonya Cuma Segini Mulai Besok,https://www.detik.com/sumbagsel/berita/d-7011613/bca-tutup-rekening-yang-saldonya-cuma-segini-mulai-besok,Neutral,0.0,Neutral,0.0,Neutral,0,Neutral,Netral
Bank Central Asia,BRI Dinobatkan Jadi Perusahaan Publik Terbesar di RI Versi Forbes Global,https://finance.detik.com/berita-ekonomi-bisnis/d-7970201/bri-dinobatkan-jadi-perusahaan-publik-terbesar-di-ri-versi-forbes-global,Neutral,0.0,Positive,0.9153,Positive,18,Positive,Sangat Positif
Bank Central Asia,"Bagikan 147 Sertifikat Halal untuk UMKM, BCA Klaim Omzet Bisa Naik 10 Persen",https://www.detik.com/bali/bisnis/d-7743428/bagikan-147-sertifikat-halal-untuk-umkm-bca-klaim-omzet-bisa-naik-10-persen,Neutral,0.0,Neutral,0.0,Positive,10,Positive,Positif
Bank Central Asia,"BCA Siapkan Rp 70,22 Triliun Uang Tunai buat Lebaran",https://finance.detik.com/moneter/d-7819664/bca-siapkan-rp-70-22-triliun-uang-tunai-buat-lebaran,Neutral,0.0,Positive,0.3612,Positive,15,Positive,Positif
Bank Central Asia,"Cara Tarik Tunai Tanpa Kartu di ATM BCA 2025, Cepat dan Aman",https://finance.detik.com/moneter/d-7779200/cara-tarik-tunai-tanpa-kartu-di-atm-bca-2025-cepat-dan-aman,Neutral,0.1,Neutral,0.0,Neutral,0,Neutral,Netral
